"","accel_changes","closest_def_loc","closest_defender","closest_defender_angle","closest_defender_dist","closest_teammate","closest_teammate_angle","closest_teammate_dist","closest_teammate_loc","court_zone","game_clock","game_date","made","new_x","new_y","num_close_def","num_close_team","num_poss","other_shot","quarter","shooter","shooter_avg_vel","shooter_dist_to_ball","shooter_dist_traveled","shooter_team","shooter_vel_at_shot","shot_clock","shot_val","x_loc","y_loc"
"2980",140,"right","Bismack Biyombo",0.910626194536615,1.81764166482285,"Eric Bledsoe",2.54300747306608,24.2894800709155,"right",2,57354,"2015-11-29",TRUE,5.6472,19.42217,1,0,4,0,1,"Alex Len",3.70470280710087,4.27344597106363,37.0470280710087,1,1.41714263572867,4.13,2,88.3528,30.57783
"2981",76,"left","TJ Warren",0.90459921419889,6.94379723411476,"Luis Scola",0.240606048314663,7.60245071161267,"left",3,46254,"2015-11-29",TRUE,26.25335,36.76886,0,0,5,0,1,"DeMarre Carroll",5.97923604165265,0.703015679199266,59.7923604165266,0,1.95456582455031,7.34,3,26.25335,36.76886
"2982",98,"right","Kyle Lowry",0.0197291275287927,7.97501864866158,"Alex Len",1.87018432697823,21.7209510655151,"right",3,45546,"2015-11-29",FALSE,32.68014,45.76923,0,0,2,1,1,"Brandon Knight",9.20674972792565,1.28956976701534,92.0674972792565,1,7.57150174172846,19.48,3,61.31986,4.23077
"2983",83,"right","Luis Scola",0.120153386979733,8.66902886603802,"Brandon Knight",1.02778399965679,21.1418092497426,"right",3,43954,"2015-11-29",FALSE,25.89433,38.7446,0,0,6,1,1,"Markieff Morris",2.72417376680461,3.36914911906553,27.2417376680461,1,0.31414347836627,16.49,3,68.10567,11.2554
"2984",92,"right","Bismack Biyombo",1.11668380052896,2.28360021706953,"Markieff Morris",1.01293386686206,5.413758734373,"right",2,37952,"2015-11-29",FALSE,4.36712,20.49207,2,0,5,1,1,"Eric Bledsoe",4.94468376759264,5.95721412838249,49.4468376759264,1,3.34070244297499,24,2,89.63288,29.50793
"2985",123,"right","Bismack Biyombo",0.620438878903839,0.239482172196587,"TJ Warren",2.12825747738015,12.4983437485172,"right",2,35553,"2015-11-29",FALSE,6.18304999999999,24.8481,1,0,6,1,1,"Eric Bledsoe",11.5769476041689,2.81360882734257,115.769476041689,1,11.4719415096139,20.49,2,87.81695,25.1519
"2986",34,"left","Brandon Knight",0.972272134852056,1.76168961465974,"Kyle Lowry",1.01848334781844,17.8543855335097,"left",3,34053,"2015-11-29",FALSE,21.30561,7.50611,1,0,2,0,1,"DeMarre Carroll",5.59188646981826,6.16844534949447,55.9188646981827,0,1.30678632530343,13.25,3,21.30561,7.50611
"2987",126,"right","Kyle Lowry",3.07504833191142,5.35215109914695,"Markieff Morris",1.28180325105865,8.96278715718498,"right",2,22854,"2015-11-29",FALSE,13.43738,21.19506,0,0,3,0,1,"TJ Warren",9.95595851418106,0.578612012664791,99.5595851418106,0,11.9180649776918,16.12,2,80.56262,28.80494
"2988",86,"right","Lucas Nogueira",1.0058950900347,2.56859973769756,"Ronnie Price",0.667455332103273,8.58447933152035,"right",2,17252,"2015-11-29",FALSE,10.75014,26.77543,1,0,6,1,1,"Jon Leuer",5.4103998853221,1.90845886623212,54.103998853221,1,4.67704612977043,9.52,2,83.24986,23.22457
"2989",92,"left","Jon Leuer",2.32221778364794,2.61739264339533,"Lucas Nogueira",2.23689275878495,11.3110907307695,"left",1,16252,"2015-11-29",FALSE,5.33629,27.5734,2,0,3,1,1,"Kyle Lowry",11.7885742095147,0.922724041141232,117.885742095147,0,13.6535660474654,17.02,2,5.33629,27.5734
